Ex ID;Start_time;End_time;Injected_value;CACC_spacing;Leader_speed;Braking_deceleration;Run_status;Impact_status;Collision_state;Collision_time;collider;victim;Collision_pos;Collision_lane;Accel_0_max;Dcel_0_min;Accel_1_max;Dcel_1_min;Accel_2_max;Dcel_2_min;Accel_3_max;Dcel_3_min;Accel_4_max;Dcel_4_min;Accel_5_max;Dcel_5_min;Accel_6_max;Dcel_6_min;Accel_7_max;Dcel_7_min;controller
61;16.0;22.0;0.8;5;80;7;Successful;Effective;collision;18.90;vtypeauto.1;vtypeauto.0;504.00;edge_0_0_0;0.0;-7.0;0.2;-8.76;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.07;0.44;-7.99;0.44;-8.08;CACC
62;16.0;22.0;0.8;8;80;7;Successful;Effective;collision;19.55;vtypeauto.1;vtypeauto.0;531.46;edge_0_0_0;0.0;-7.0;0.2;-8.76;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.07;0.44;-7.99;0.44;-8.08;CACC
63;16.0;22.0;0.8;10;80;7;Successful;Effective;collision;20.11;vtypeauto.1;vtypeauto.0;548.71;edge_0_0_0;0.0;-7.0;0.2;-8.76;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.07;0.44;-7.99;0.44;-8.08;CACC
64;16.0;22.0;0.8;5;100;7;Successful;Effective;collision;18.94;vtypeauto.1;vtypeauto.0;615.81;edge_0_0_0;0.0;-7.0;0.25;-8.76;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.27;0.55;-8.33;CACC
65;16.0;22.0;0.8;8;100;7;Successful;Effective;collision;19.60;vtypeauto.1;vtypeauto.0;646.85;edge_0_0_0;0.0;-7.0;0.25;-8.76;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.27;0.55;-8.33;CACC
66;16.0;22.0;0.8;10;100;7;Successful;Effective;collision;20.16;vtypeauto.1;vtypeauto.0;666.98;edge_0_0_0;0.0;-7.0;0.25;-8.76;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-8.27;0.55;-8.33;CACC
67;16.0;22.0;0.8;5;80;8;Successful;Effective;collision;18.75;vtypeauto.1;vtypeauto.0;501.14;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.79;0.44;-8.84;0.44;-8.92;CACC
68;16.0;22.0;0.8;8;80;8;Successful;Effective;collision;19.29;vtypeauto.1;vtypeauto.0;527.45;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.79;0.44;-8.84;0.44;-8.92;CACC
69;16.0;22.0;0.8;10;80;8;Successful;Effective;collision;19.69;vtypeauto.1;vtypeauto.0;543.91;edge_0_0_0;0.0;-7.99;0.2;-9.0;0.32;-9.0;0.38;-9.0;0.41;-9.0;0.43;-8.79;0.44;-8.84;0.44;-8.92;CACC
70;16.0;22.0;0.8;5;100;8;Successful;Effective;collision;18.79;vtypeauto.1;vtypeauto.0;612.13;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
71;16.0;22.0;0.8;8;100;8;Successful;Effective;collision;19.33;vtypeauto.1;vtypeauto.0;641.26;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
72;16.0;22.0;0.8;10;100;8;Successful;Effective;collision;19.73;vtypeauto.1;vtypeauto.0;659.82;edge_0_0_0;0.0;-8.0;0.25;-9.0;0.39;-9.0;0.47;-9.0;0.51;-9.0;0.54;-9.0;0.55;-9.0;0.55;-9.0;CACC
73;16.0;22.0;0.9;5;80;5;Successful;Effective;collision;19.24;vtypeauto.1;vtypeauto.0;511.09;edge_0_0_0;0.0;-5.0;0.2;-6.42;0.32;-7.24;0.38;-7.59;0.41;-7.6;0.43;-6.76;0.44;-6.08;0.44;-6.05;CACC
